"","Spanish","French","Chinese","German","Hindi and related","Filipino, Tagalog","Italian","Vietnamese","Russian","Korean","Polish","Arabic","Japanese","Portuguese","Dravidian","Sub-Saharan Africa","Greek","Other or not reported","Persian, Iranian, Farsi","Serbo-Croatian, Yugoslavian, Slavonian","Navajo","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Armenian","Dutch","Rumanian","Ukrainian, Ruthenian, Little Russian","Other East/Southeast Asian","Czech","Tibetan","Magyar, Hungarian","Amharic, Ethiopian, etc","Albanian","Swedish","Other Malayan","Turkish","Norwegian","Indonesian","Micronesian, Polynesian","Hamitic","Slovak","Finnish","Lithuanian","Near East Arabic dialect","Other Balto-Slavic","Celtic","Danish","Hawaiian","Siouan languages","Aleut, Eskimo","Algonquian","Iroquoian","African, n.s","Athapascan","Burmese, Lisu, Lolo","Keres","Muskogean","Other Persian dialects","Icelandic","English","N/A or blank"
"Georgia",233463.72,31858.68,13237.56,16464.84,15907.92,5012.28,3270.12,8853.6,3641.4,18249.84,599.76,6868.68,3555.72,2841.72,5369.28,13523.16,1542.24,2798.88,3084.48,4212.6,728.28,2384.76,1613.64,628.32,0,2798.88,1213.8,0,871.08,1642.2,0,1456.56,1670.76,199.92,0,0,6197.52,0,0,0,3341.52,0,0,1899.24,0,0,813.96,0,0,0,0,0,0,985.32,0,0,0,0,0,0,0,0
"Hawaii",13951.56,3455.76,17864.28,5654.88,1071,43139.88,442.68,5112.24,185.64,8282.4,671.16,1356.6,39512.76,885.36,0,0,0,6311.76,0,314.16,0,0,2884.56,0,0,357,0,0,0,0,0,0,0,0,342.72,0,0,756.84,171.36,4326.84,0,0,342.72,0,0,0,0,0,12923.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Idaho",39712.68,3098.76,99.96,2827.44,0,614.04,599.76,0,471.24,42.84,357,99.96,913.92,871.08,414.12,0,0,2327.64,0,2213.4,0,0,528.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.64,0,0,0,0,0,0,0,0,0,142.8,0,0,0,0,0,0,0,0,0,0,0,0
"Illinois",580924.679999998,26061,31116.12,34186.32,45981.6,38127.6,19520.76,10752.84,24732.96,22448.16,99517.32,18506.88,13837.32,1142.4,14751.24,9810.36,16207.8,3855.6,3741.36,19078.08,971.04,2227.68,2413.32,1485.12,828.24,3312.96,8153.88,5897.64,1670.76,3684.24,699.72,1085.28,2156.28,3241.56,3070.2,1627.92,2113.44,1927.8,185.64,0,0,2841.72,214.2,5783.4,2941.68,3769.92,956.76,1556.52,0,0,0,699.72,913.92,0,0,257.04,0,0,0,0,0,0
"Indiana",121394.28,12309.36,8525.16,39412.8,6568.8,3855.6,3969.84,1827.84,3170.16,3127.32,5297.88,3812.76,4641,2427.6,556.92,1142.4,1199.52,1199.52,257.04,2927.4,0,0,856.8,728.28,842.52,9467.64,471.24,728.28,0,985.32,0,1513.68,342.72,0,342.72,285.6,0,1156.68,171.36,0,0,1099.56,0,556.92,0,1328.04,0,0,0,0,0,257.04,0,1285.2,0,299.88,0,599.76,0,0,0,0
"Iowa",41012.16,5126.52,4512.48,14994,999.6,799.68,0,1813.56,1899.24,2156.28,314.16,1599.36,1756.44,428.4,928.2,1013.88,0,728.28,614.04,3170.16,0,0,3227.28,428.4,0,2213.4,0,0,2213.4,428.4,0,0,0,0,314.16,0,128.52,1356.6,185.64,0,985.32,0,0,0,0,0,0,1342.32,485.52,0,0,799.68,0,499.8,0,0,0,0,0,0,0,0
"Kansas",57848.28,4983.72,7025.76,10295.88,3098.76,928.2,199.92,10538.64,4084.08,1370.88,371.28,2027.76,514.08,257.04,842.52,0,0,0,271.32,428.4,0,0,699.72,0,742.56,1071,0,0,0,228.48,0,0,742.56,0,99.96,0,0,0,414.12,0,0,0,0,0,0,0,0,0,0,0,0,171.36,0,0,99.96,0,0,0,0,0,0,0
"Kentucky",46481.4,5026.56,4955.16,12980.52,4184.04,656.88,1827.84,5255.04,599.76,3969.84,614.04,2541.84,1342.32,0,1442.28,357,0,185.64,556.92,528.36,385.56,142.8,385.56,385.56,0,442.68,0,0,0,242.76,0,1299.48,0,1056.72,0,242.76,328.44,0,0,1485.12,0,0,0,0,0,0,99.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Louisiana",50951.04,178928.4,2099.16,7311.36,3013.08,599.76,3427.2,9510.48,1213.8,257.04,942.48,5597.76,1428,2613.24,342.72,1142.4,671.16,85.68,0,0,0,0,385.56,0,0,856.8,0,271.32,0,542.64,0,314.16,0,0,128.52,0,271.32,0,0,0,0,0,0,0,0,0,214.2,0,85.68,542.64,0,0,385.56,0,0,0,0,0,0,0,0,0
"Maine",7654.08,44996.28,257.04,1285.2,614.04,0,685.44,0,128.52,0,813.96,0,871.08,257.04,0,0,371.28,0,0,0,0,0,0,0,0,0,428.4,0,0,0,0,0,0,0,499.8,0,185.64,0,0,0,0,371.28,0,0,0,0,485.52,0,0,0,0,756.84,0,0,0,0,0,0,0,0,0,0
