"","Spanish","Hindi and related","Chinese","French","Filipino, Tagalog","German","Dravidian","Arabic","Sub-Saharan Africa","Vietnamese","Portuguese","Korean","Russian","Italian","Japanese","Polish","Persian, Iranian, Farsi","Greek","Tibetan","Navajo","Amharic, Ethiopian, etc","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Dutch","Armenian","Rumanian","Other East/Southeast Asian","Ukrainian, Ruthenian, Little Russian","Indonesian","Turkish","Burmese, Lisu, Lolo","Serbo-Croatian, Yugoslavian, Slavonian","Micronesian, Polynesian","Albanian","Hamitic","Other Balto-Slavic","Native","Swedish","Other Persian dialects","Magyar, Hungarian","Czech","Lithuanian","Aleut, Eskimo","Near East Arabic dialect","Other or not reported","Aztecan, Nahuatl, Uto-Aztecan","Siouan languages","Other Malayan","Finnish","Hawaiian","Norwegian","Other Afro-Asiatic languages","Athapascan","Slovak","Danish","Muskogean","Keres","Other Altaic","Celtic","Iroquoian","Algonquian","Zuni","English","N/A or blank"
"Nebraska",59307.3,1981.35,3046.95,5361.3,0,1798.2,3812.85,749.25,566.1,1698.3,0,0,333,16.65,932.4,0,1981.35,0,0,0,0,0,0,0,283.05,0,0,0,0,0,0,1814.85,416.25,0,0,2464.2,0,0,0,532.8,0,166.5,0,0,0,0,0,0,0,0,0,233.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nevada",253845.9,5044.95,11888.1,2680.65,35880.75,1681.65,1282.05,9090.9,3679.65,2547.45,3696.3,1698.3,1248.75,1381.95,2281.05,1048.95,1631.7,183.15,0,632.7,8941.05,333,932.4,0,1115.55,1981.35,1615.05,0,0,299.7,0,0,199.8,2680.65,166.5,0,815.85,682.65,0,0,0,199.8,0,0,0,0,1881.45,382.95,0,0,649.35,466.2,2380.95,0,0,0,0,0,532.8,0,0,0,0,0,0
"New Hampshire",16516.8,732.6,1498.5,9740.25,16.65,1365.3,4778.55,99.9,149.85,116.55,2963.7,0,183.15,765.9,1448.55,33.3,0,1381.95,0,0,0,0,2064.6,0,0,0,0,0,0,199.8,0,0,0,0,283.05,0,0,0,149.85,233.1,0,0,283.05,0,0,0,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"New Jersey",562736.7,123892.65,40909.05,46753.2,18331.65,9756.9,41841.45,31518.45,25141.5,5411.25,28321.65,23393.25,14402.25,28787.85,7825.5,28737.9,449.55,11821.5,0,0,1548.45,5194.8,915.75,4179.15,2014.65,1098.9,1348.65,0,3063.6,532.8,8191.8,449.55,849.15,0,4695.3,0,3146.85,266.4,199.8,749.25,732.6,183.15,0,0,599.4,799.2,0,0,0,932.4,0,616.05,999,0,4345.65,1515.15,0,0,0,0,0,0,0,0,0
"New Mexico",318098.25,199.8,3463.2,3862.8,2564.1,233.1,3996,1448.55,5794.2,7092.9,233.1,183.15,982.35,466.2,1182.15,0,4229.1,0,0,51481.8,0,0,0,0,0,0,0,0,0,715.95,0,0,33.3,0,0,0,0,8558.1,0,0,0,183.15,1648.35,0,0,233.1,0,49.95,0,366.3,0,0,0,3479.85,0,0,0,9806.85,0,416.25,0,66.6,999,0,0
"New York",1179119.7,148334.85,214385.4,132617.25,21361.95,28205.1,35797.5,38311.65,49084.2,10356.3,26190.45,33266.7,57126.15,55278,11322,24075.9,6227.1,26723.25,6843.15,0,4961.7,42524.1,4995,83549.7,4928.4,2397.6,5844.15,199.8,10739.25,7858.8,8358.3,4795.2,12171.15,0,17432.55,0,4711.95,2997,2430.9,3579.75,3563.1,6210.45,1082.25,0,0,3030.3,0,0,0,449.55,0,1381.95,1898.1,0,682.65,349.65,0,0,0,1798.2,0,0,0,0,0
"North Carolina",270362.7,22194.45,17732.25,27306,6393.6,13136.85,19147.5,11571.75,12637.35,5994,3113.55,4995,3196.8,4012.65,2697.3,1764.9,1032.3,3746.25,9640.35,0,432.9,1764.9,1265.4,466.2,499.5,0,1498.5,0,799.2,2131.2,233.1,183.15,133.2,0,349.65,1615.05,0,333,1548.45,0,0,83.25,0,0,0,0,0,149.85,0,0,0,183.15,133.2,0,0,1082.25,0,0,0,133.2,3479.85,0,0,0,0
"North Dakota",11055.6,0,0,2763.9,9357.3,3163.5,765.9,699.3,4129.2,299.7,0,216.45,2880.45,299.7,0,0,0,0,0,0,549.45,0,449.55,0,116.55,0,0,0,0,0,0,0,399.6,0,0,0,0,149.85,715.95,599.4,0,183.15,0,0,0,0,0,1248.75,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ohio",128937.6,43173.45,26406.9,17715.6,7409.25,51498.45,27322.65,28321.65,22527.45,4612.05,949.05,4045.95,8008.65,10372.95,7192.8,1615.05,1298.7,5361.3,133.2,0,2530.8,2897.1,2547.45,0,10073.25,0,3246.75,366.3,2980.35,832.5,482.85,899.1,2247.75,449.55,0,1914.75,1831.5,149.85,1631.7,166.5,2514.15,732.6,399.6,0,849.15,0,0,0,0,0,0,249.75,0,0,1648.35,0,0,0,0,216.45,416.25,0,0,0,0
"Oklahoma",105494.4,10156.5,5494.5,3479.85,0,9690.3,8424.9,949.05,5128.2,1681.65,382.95,3496.5,782.55,382.95,366.3,233.1,266.4,732.6,2963.7,1515.15,0,0,183.15,0,249.75,0,0,0,0,0,566.1,4162.5,0,16.65,0,0,0,1232.1,0,0,0,0,0,0,0,0,316.35,599.4,116.55,0,83.25,0,0,0,0,333,4062.6,0,0,116.55,2797.2,0,0,0,0
