"","Spanish","French","Chinese","Hindi and related","Filipino, Tagalog","German","Vietnamese","Korean","Russian","Arabic","Dravidian","Italian","Sub-Saharan Africa","Portuguese","Polish","Japanese","Serbo-Croatian, Yugoslavian, Slavonian","Greek","Persian, Iranian, Farsi","Navajo","Hebrew, Israeli","Amharic, Ethiopian, etc","Thai, Siamese, Lao","Indonesian","Yiddish, Jewish","Micronesian, Polynesian","Armenian","Dutch","Ukrainian, Ruthenian, Little Russian","Rumanian","Tibetan","Albanian","Other East/Southeast Asian","Hamitic","Native","Turkish","Other Balto-Slavic","Magyar, Hungarian","Other Malayan","Near East Arabic dialect","Athapascan","Burmese, Lisu, Lolo","Lithuanian","Swedish","Czech","Norwegian","Slovak","Hawaiian","Aleut, Eskimo","Finnish","Other or not reported","Danish","Other Persian dialects","Celtic","Keres","Siouan languages","American Indian, n.s","African, n.s","Iroquoian","Zuni","English","N/A or blank"
"Rhode Island",112928.74,15317.24,8323.28,427.52,1082.16,2107.54,881.76,2020.7,1933.86,3744.14,504.34,6673.32,1816.96,34966.46,2715.42,387.44,1222.44,2044.08,0,220.44,177.02,0,4599.18,457.58,243.82,0,607.88,644.62,0,180.36,0,0,3633.92,0,0,0,457.58,594.52,1509.68,0,0,0,0,267.2,0,0,0,0,0,0,0,0,0,0,0,0,784.9,0,0,0,0,0
"South Carolina",206522.22,9355.34,8152.94,11065.42,10801.56,10514.32,4448.88,3610.54,4415.48,2688.7,460.92,3356.7,1773.54,4348.68,293.92,3697.38,233.8,2695.38,824.98,0,380.76,390.78,113.56,905.14,0,0,0,233.8,0,0,0,0,9265.16,0,0,0,1449.56,704.74,0,0,0,0,0,1212.42,0,460.92,197.06,0,0,203.74,0,0,0,1192.38,0,0,0,0,0,0,0,0
"South Dakota",18336.6,1516.36,1182.36,0,1085.5,11022,0,0,3026.04,0,0,0,3413.48,0,494.32,748.16,0,0,0,0,0,2778.88,584.5,0,0,0,0,156.98,995.32,0,0,0,0,0,0,0,0,0,0,0,0,698.06,0,0,1185.7,0,0,0,0,153.64,738.14,364.06,0,0,0,5524.36,0,0,0,0,0,0
"Tennessee",228612.98,14285.18,9686,13149.58,9438.84,11977.24,10444.18,9001.3,8139.58,11092.14,4859.7,1586.5,5511,1559.78,2401.46,2892.44,2518.36,2685.36,3670.66,0,303.94,3617.22,8410.12,2050.76,0,691.38,0,1366.06,1887.1,417.5,490.98,0,1312.62,1653.3,0,0,0,63.46,197.06,0,0,1376.08,0,210.42,0,561.12,0,0,0,0,0,0,1172.34,1098.86,0,0,0,0,484.3,0,0,0
"Texas",6754618.93999998,68770.6,120954.76,164150.98,67812.02,67190.78,181438.82,51385.9,17521.64,56856.82,72013.74,12347.98,53426.64,14802.88,6275.86,10053.4,12999.28,6656.62,23964.5,561.12,4141.6,13620.52,20370.66,9973.24,0,2972.6,5490.96,7211.06,1179.02,4485.62,0,1212.42,8927.82,5010,2695.38,12428.14,1132.26,3597.18,6382.74,0,948.56,3463.58,1309.28,4899.78,7150.94,915.16,551.1,998.66,0,2558.44,277.22,1376.08,988.64,1118.9,0,307.28,460.92,1559.78,0,0,0,0
"Utah",218619.7,7341.32,14595.8,3486.96,3299.92,7481.6,5260.5,7007.32,7317.94,1723.44,2605.2,1462.92,337.34,8760.82,908.48,4422.16,8861.02,1569.8,0,15093.46,237.14,0,1346.02,1262.52,0,10203.7,1078.82,1766.86,0,858.38,0,0,1603.2,991.98,1055.44,534.4,784.9,0,0,0,210.42,0,1052.1,751.5,838.34,1255.84,203.74,0,0,0,250.5,741.48,0,0,534.4,0,0,0,0,0,0,0
"Vermont",5935.18,10571.1,2605.2,0,0,1406.14,0,303.94,1489.64,0,1158.98,0,0,350.7,0,213.76,1763.52,480.96,0,0,1219.1,0,0,0,0,0,0,0,657.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686.7,404.14,0,574.48,0,0,0,0,156.98,0,0,0,0,0,0,0,0,0,0
"Virginia",568391.18,29328.54,41706.58,82474.62,42818.8,26456.14,49164.8,45891.6,14128.2,37939.06,19382.02,9612.52,39799.44,9442.18,1339.34,6376.06,9996.62,7297.9,24341.92,0,1746.82,18416.76,4195.04,6683.34,447.56,668,978.62,1596.52,1586.5,2531.72,0,2705.4,450.9,1399.46,1052.1,8627.22,1740.14,0,1185.7,0,0,2097.52,527.72,1205.74,668,280.56,454.24,0,0,0,3082.82,300.6,3680.68,237.14,0,243.82,0,273.88,0,0,0,0
"Washington",490442.26,17732.06,75671.04,35768.06,58877.52,33430.06,49619.04,62137.36,64505.42,10968.56,13623.86,5417.48,5644.6,1983.96,6489.62,20928.44,10337.3,2384.76,8597.16,183.7,1302.6,10684.66,14195,4722.76,247.16,18710.68,2214.42,5871.72,19091.44,15280.5,1322.64,0,25581.06,15394.06,2217.76,7324.62,2090.84,3109.54,3142.94,0,554.44,597.86,557.78,1148.96,3096.18,2110.88,0,1192.38,0,1666.66,1085.5,0,0,0,0,0,317.3,0,0,0,0,0
"West Virginia",17077.42,2444.88,1613.22,0,1002,1683.36,0,394.12,290.58,1412.82,86.84,1192.38,771.54,0,0,380.76,0,1442.88,153.64,0,170.34,53.44,0,0,0,364.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.76,0,0,80.16,0,0,0,0,0,0,0,0
"Wisconsin",226331.76,9318.6,5981.94,7398.1,5123.56,47414.64,1923.84,8346.66,5861.7,5243.8,6870.38,8233.1,3841,1065.46,10427.48,1569.8,2565.12,7107.52,0,0,0,0,2204.4,0,0,0,327.32,1169,0,704.74,46212.24,0,0,0,4021.36,0,1499.66,427.52,925.18,0,2541.74,634.6,915.16,106.88,1022.04,1973.94,751.5,0,0,110.22,845.02,257.18,0,173.68,0,156.98,0,0,0,0,0,0
"Wyoming",22347.94,1576.48,287.24,0,0,2822.3,0,330.66,340.68,0,0,561.12,467.6,0,0,0,0,277.22,0,0,233.8,0,0,0,0,0,0,340.68,0,1700.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.72,0,0,0,0,0,1102.2,0,0,0,0,0
