"","Spanish","French","Chinese","Hindi and related","Filipino, Tagalog","German","Vietnamese","Korean","Russian","Arabic","Dravidian","Italian","Sub-Saharan Africa","Portuguese","Polish","Japanese","Serbo-Croatian, Yugoslavian, Slavonian","Greek","Persian, Iranian, Farsi","Navajo","Hebrew, Israeli","Amharic, Ethiopian, etc","Thai, Siamese, Lao","Indonesian","Yiddish, Jewish","Micronesian, Polynesian","Armenian","Dutch","Ukrainian, Ruthenian, Little Russian","Rumanian","Tibetan","Albanian","Other East/Southeast Asian","Hamitic","Native","Turkish","Other Balto-Slavic","Magyar, Hungarian","Other Malayan","Near East Arabic dialect","Athapascan","Burmese, Lisu, Lolo","Lithuanian","Swedish","Czech","Norwegian","Slovak","Hawaiian","Aleut, Eskimo","Finnish","Other or not reported","Danish","Other Persian dialects","Celtic","Keres","Siouan languages","American Indian, n.s","African, n.s","Iroquoian","Zuni","English","N/A or blank"
"115",30180.24,2044.08,1255.84,2251.16,511.02,73.48,330.66,517.7,2261.18,2548.42,634.6,0,4048.08,364.06,0,0,1035.4,1169,0,0,310.62,330.66,0,0,0,0,0,0,374.08,594.52,0,0,0,2802.26,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,487.64,0,0,0,0,0,0,0,0,0,0,0
"116",1152.3,0,360.72,0,0,136.94,0,0,0,0,0,0,297.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",21098.78,828.32,4108.2,2641.94,467.6,3470.26,0,1910.48,0,0,387.44,0,404.14,0,554.44,1055.44,0,0,0,0,0,0,0,0,0,0,0,938.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",11429.48,1179.02,1012.02,2705.4,0,0,891.78,0,1118.9,701.4,404.14,310.62,1666.66,0,0,0,0,557.78,2010.68,0,0,0,0,0,156.98,0,0,0,0,0,664.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",23226.36,2879.08,2855.7,0,70.14,5824.96,647.96,804.94,0,0,0,0,93.52,0,1529.72,1593.18,0,377.42,0,0,0,0,544.42,948.56,397.46,0,0,113.56,0,644.62,0,0,0,0,0,370.74,0,0,0,0,0,0,0,0,0,0,273.88,0,0,0,0,0,0,0,0,0,0,143.62,0,0,0,0
"120",1816.96,0,1803.6,0,434.2,7227.76,0,0,958.58,0,0,0,0,684.7,0,0,0,0,0,0,0,0,0,0,0,0,0,567.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",1506.34,0,0,0,494.32,497.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",4164.98,0,0,0,991.98,347.36,0,0,267.2,0,0,0,0,0,0,0,0,801.6,0,0,0,0,0,457.58,484.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",7722.08,0,831.66,490.98,0,2351.36,0,0,0,387.44,614.56,0,0,0,2648.62,0,1870.4,2160.98,213.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2561.78,0,0,0,0,0,0,0,0,0,283.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",3289.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",7859.02,0,0,0,0,0,0,0,0,0,0,0,0,0,584.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",1472.94,437.54,0,0,0,5156.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",1025.38,0,0,0,0,0,0,0,0,0,0,0,384.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",4605.86,0,0,0,0,287.24,0,0,136.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",2127.58,143.62,0,0,0,1302.6,0,0,0,0,0,0,0,0,0,0,320.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.8,460.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",2722.1,0,444.22,0,0,243.82,0,0,0,0,0,0,0,0,0,0,2728.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",8413.46,557.78,0,621.24,1088.84,2404.8,374.08,1329.32,0,0,561.12,0,4338.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219.1,0,0,0,0,427.52,0,283.9,0,123.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",2842.34,0,310.62,1566.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.24,0,0,0,0,0,90.18,0,0,0,0,0,0,0,0,0,0
"133",1265.86,440.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
