"","Spanish","French","Chinese","German","Hindi and related","Filipino, Tagalog","Italian","Vietnamese","Russian","Korean","Polish","Arabic","Japanese","Portuguese","Dravidian","Sub-Saharan Africa","Greek","Other or not reported","Persian, Iranian, Farsi","Serbo-Croatian, Yugoslavian, Slavonian","Navajo","Hebrew, Israeli","Thai, Siamese, Lao","Yiddish, Jewish","Armenian","Dutch","Rumanian","Ukrainian, Ruthenian, Little Russian","Other East/Southeast Asian","Czech","Tibetan","Magyar, Hungarian","Amharic, Ethiopian, etc","Albanian","Swedish","Other Malayan","Turkish","Norwegian","Indonesian","Micronesian, Polynesian","Hamitic","Slovak","Finnish","Lithuanian","Near East Arabic dialect","Other Balto-Slavic","Celtic","Danish","Hawaiian","Siouan languages","Aleut, Eskimo","Algonquian","Iroquoian","African, n.s","Athapascan","Burmese, Lisu, Lolo","Keres","Muskogean","Other Persian dialects","Icelandic","English","N/A or blank"
"54",18792.48,856.8,856.8,4798.08,0,2056.32,342.72,257.04,642.6,342.72,0,0,299.88,0,0,0,0,0,299.88,0,0,0,299.88,0,0,299.88,0,0,0,299.88,0,299.88,0,0,0,0,0,0,0,0,0,0,0,0,0,728.28,0,0,0,128.52,0,0,0,0,0,0,0,0,0,0,0,0
"55",17735.76,0,0,271.32,0,0,214.2,0,342.72,0,171.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",230679.12,10467.24,5412.12,11266.92,3398.64,2027.76,3927,3727.08,7411.32,2499,2856,1170.96,4126.92,342.72,5326.44,428.4,942.48,3527.16,2356.2,599.76,3512.88,942.48,1770.72,214.2,0,1870.68,342.72,0,0,385.56,2970.24,299.88,0,1071,2413.32,0,414.12,1413.72,799.68,514.08,0,599.76,171.36,0,0,0,428.4,685.44,0,685.44,0,0,85.68,0,542.64,0,0,0,0,0,0,0
"57",9981.72,1899.24,942.48,0,1042.44,0,985.32,0,471.24,0,1342.32,0,0,0,1099.56,0,1399.44,0,642.6,0,0,0,0,0,0,0,442.68,828.24,0,0,0,0,0,0,0,0,0,0,514.08,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",7354.2,271.32,228.48,0,0,0,1642.2,0,0,0,285.6,0,0,228.48,0,0,0,0,0,0,0,0,0,271.32,0,0,671.16,199.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",16122.12,1899.24,0,214.2,3798.48,0,1085.28,0,0,0,0,199.92,0,2813.16,0,742.56,0,0,0,1028.16,0,0,357,0,399.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",6583.08,1913.52,0,514.08,357,0,1785,0,0,0,0,0,0,928.2,0,0,199.92,0,0,0,0,0,128.52,0,0,0,0,0,0,0,0,0,0,628.32,0,0,0,0,0,0,0,0,0,314.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",6440.28,2241.96,0,0,856.8,0,357,357,0,314.16,4969.44,656.88,0,242.76,0,985.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.68,0,0,0,0,0,0,0,0,0,314.16,357,0,0,0,0,0,0,0,0,485.52,0,0,0,0,0,0,0,0
"62",19892.04,671.16,0,471.24,0,0,642.6,0,0,0,871.08,0,0,828.24,0,0,0,0,0,514.08,0,0,285.6,0,0,0,0,0,0,0,0,228.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",60090.24,26575.08,5583.48,6226.08,7596.96,4655.28,17321.64,556.92,6497.4,1270.92,9010.68,1599.36,2042.04,10495.8,2284.8,399.84,2199.12,628.32,714,157.08,299.88,471.24,1385.16,671.16,471.24,685.44,1242.36,1313.76,0,528.36,0,856.8,0,1299.48,556.92,228.48,271.32,0,0,228.48,0,271.32,0,499.8,0,1570.8,85.68,1056.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",5712,1970.64,785.4,856.8,85.68,0,114.24,0,0,0,285.6,0,0,0,0,0,656.88,0,0,0,0,0,371.28,0,0,0,0,0,0,371.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",10967.04,1199.52,2070.6,1113.84,2013.48,0,2270.52,571.2,242.76,528.36,1956.36,0,0,971.04,1113.84,0,585.48,0,0,0,0,0,0,142.8,0,0,171.36,499.8,0,0,0,0,0,0,285.6,0,242.76,0,0,0,0,0,0,285.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
